code,description
A000,Cholera due to Vibrio cholerae 01 biovar cholerae
A009,Cholera unspecified
A0100,Typhoid fever unspecified
A0101,Typhoid meningitis
A0102,Typhoid fever with heart involvement
A0103,Typhoid pneumonia
A0104,Typhoid arthritis
A0105,Typhoid osteomyelitis
A0109,Typhoid fever with other complications
A011,Paratyphoid fever A
A020,Salmonella enteritis
A0220,Localized salmonella infection unspecified
A0221,Salmonella meningitis
A028,Other specified salmonella infections
A029,Salmonella infection unspecified
A030,Shigellosis due to Shigella dysenteriae
A038,Other shigellosis
A039,Shigellosis unspecified
A040,Enteropathogenic Escherichia coli infection
A041,Enterotoxigenic Escherichia coli infection
A042,Enteroinvasive Escherichia coli infection
A043,Enterohemorrhagic Escherichia coli infection
A044,Other intestinal Escherichia coli infections
A045,Campylobacter enteritis
A046,Enteritis due to Yersinia enterocolitica
A0471,Enterocolitis due to Clostridium difficile recurrent
A048,Other specified bacterial intestinal infections
A049,Bacterial intestinal infection unspecified
A050,Foodborne staphylococcal intoxication
A051,Botulism food poisoning
A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A058,Other specified bacterial foodborne intoxications
A059,Bacterial foodborne intoxication unspecified
A060,Acute amebic dysentery
A061,Chronic intestinal amebiasis
A062,Amebic nondysenteric colitis
A063,Ameboma of intestine
A064,Amebic liver abscess
A065,Amebic lung abscess
A066,Amebic brain abscess
A067,Cutaneous amebiasis
A0681,Amebic cystitis
A0682,Other amebic genitourinary infections
A069,Amebiasis unspecified
A070,Balantidiasis
A071,Giardiasis [lambliasis]
A072,Cryptosporidiosis
A073,Isosporiasis
A074,Cyclosporiasis
A078,Other specified protozoal intestinal diseases
A079,Protozoal intestinal disease unspecified
A080,Rotaviral enteritis
A0811,Acute gastroenteropathy due to Norwalk agent
A082,Adenoviral enteritis
A0831,Calicivirus enteritis
A0832,Astrovirus enteritis
A0839,Other viral enteritis
A084,Viral intestinal infection unspecified
A088,Other specified intestinal infections
A09,Infectious gastroenteritis and colitis unspecified
A150,Tuberculosis of lung
A156,Tuberculous pleurisy
A157,Primary respiratory tuberculosis
A158,Other respiratory tuberculosis
A159,Respiratory tuberculosis unspecified
A170,Tuberculous meningitis
A171,Meningeal tuberculoma
A1781,Tuberculoma of brain and spinal cord
A1782,Tuberculous meningoencephalitis
A1789,Other tuberculosis of nervous system
A179,Tuberculosis of nervous system unspecified
A1802,Tuberculous arthritis of other joints
A1803,Tuberculosis of other bones
A1809,Other musculoskeletal tuberculosis
A1810,Tuberculosis of genitourinary system unspecified
A1817,Tuberculous female pelvic inflammatory disease
A1818,Tuberculosis of other female genital organs
A182,Tuberculous peripheral lymphadenopathy
A1839,Retroperitoneal tuberculosis
A184,Tuberculosis of skin and subcutaneous tissue
A1851,Tuberculous episcleritis
A1859,Other tuberculosis of eye
A186,Tuberculosis of (inner) (middle) ear
A190,Acute miliary tuberculosis of a single specified site
A198,Other miliary tuberculosis
A199,Miliary tuberculosis unspecified
A200,Bubonic plague
A201,Cellulocutaneous plague
A202,Pneumonic plague
A203,Plague meningitis
A207,Septicemic plague
A208,Other forms of plague
A209,Plague unspecified
A210,Ulceroglandular tularemia
A211,Oculoglandular tularemia
A212,Pulmonary tularemia
A213,Gastrointestinal tularemia
A217,Generalized tularemia
A218,Other forms of tularemia
A219,Tularemia unspecified
A220,Cutaneous anthrax
A221,Pulmonary anthrax
A222,Gastrointestinal anthrax
A227,Anthrax sepsis
A228,Other forms of anthrax
A229,Anthrax unspecified
A230,Brucellosis due to Brucella melitensis
A238,Other brucellosis
A239,Brucellosis unspecified
A240,Glanders
A241,Acute and fulminating melioidosis
A242,Subacute and chronic melioidosis
A243,Other melioidosis
A249,Melioidosis unspecified
A250,Spirillosis
A251,Streptobacillosis
A259,Rat-bite fever unspecified
A260,Cutaneous erysipeloid
A267,Erysipelothrix sepsis
A268,Other forms of erysipeloid
A269,Erysipeloid unspecified
A270,Leptospirosis icterohemorrhagica
A2781,Aseptic meningitis in leptospirosis
A2789,Other forms of leptospirosis
A279,Leptospirosis unspecified
A280,Pasteurellosis
A281,Cat-scratch disease
A282,Extraintestinal yersiniosis
A288,Other specified zoonotic bacterial diseases not elsewhere classified
A289,Zoonotic bacterial disease unspecified
A300,Indeterminate leprosy
A301,Tuberculoid leprosy
A302,Borderline tuberculoid leprosy
A305,Lepromatous leprosy
A308,Other forms of leprosy
A309,Leprosy unspecified
A310,Pulmonary mycobacterial infection
A311,Cutaneous mycobacterial infection
A312,Disseminated mycobacterium avium-intracellulare complex (DMAC)
A318,Other mycobacterial infections
A319,Mycobacterial infection unspecified
A320,Cutaneous listeriosis
A3211,Listerial meningitis
A3281,Oculoglandular listeriosis
A3282,Listerial endocarditis
A3289,Other forms of listeriosis
A329,Listeriosis unspecified
A33,Tetanus neonatorum
A34,Obstetrical tetanus
A35,Other tetanus
A360,Pharyngeal diphtheria
A361,Nasopharyngeal diphtheria
A362,Laryngeal diphtheria
A363,Cutaneous diphtheria
A3681,Diphtheritic cardiomyopathy
A3689,Other diphtheritic complications
A369,Diphtheria unspecified
A3700,Whooping cough due to Bordetella pertussis without pneumonia
A380,Scarlet fever with otitis media
A390,Meningococcal meningitis
A391,Waterhouse-Friderichsen syndrome
A392,Acute meningococcemia
A393,Chronic meningococcemia
A394,Meningococcemia unspecified
A3984,Postmeningococcal arthritis
A3989,Other meningococcal infections
A399,Meningococcal infection unspecified
A400,Sepsis due to streptococcus group A
A408,Other streptococcal sepsis
A409,Streptococcal sepsis unspecified
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus
A4150,Gram-negative sepsis unspecified
A4151,Sepsis due to Escherichia coli [E. coli]
A4159,Other Gram-negative sepsis
A4181,Sepsis due to Enterococcus
A4189,Other specified sepsis
A419,Sepsis unspecified organism
A420,Pulmonary actinomycosis
A421,Abdominal actinomycosis
A422,Cervicofacial actinomycosis
A427,Actinomycotic sepsis
A4289,Other forms of actinomycosis
A429,Actinomycosis unspecified
A430,Pulmonary nocardiosis
A431,Cutaneous nocardiosis
A438,Other forms of nocardiosis
A439,Nocardiosis unspecified
A440,Systemic bartonellosis
A441,Cutaneous and mucocutaneous bartonellosis
A448,Other forms of bartonellosis
A449,Bartonellosis unspecified
A46,Erysipelas
A480,Gas gangrene
A481,Legionnaires' disease
A482,Nonpneumonic Legionnaires' disease [Pontiac fever]
A483,Toxic shock syndrome
A484,Brazilian purpuric fever
A4851,Infant botulism
A4852,Wound botulism
